,dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
0,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7293742895126343,80.98522114753723,GConvGRU
1,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7290817499160767,80.89178800582886,GConvGRU
2,fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.892261624336243,81.97654676437378,GConvGRU
3,fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.211288452148437,87.80386924743652,GConvGRU
4,fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.072817802429199,103.64874172210692,GConvGRU
5,fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.566474437713623,98.34009552001952,GConvGRU
6,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7315995693206787,114.49259185791016,GConvGRU
7,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7350261211395264,115.54427361488342,GConvGRU
8,fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.2441970109939575,123.85583305358888,GConvGRU
9,fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.2361797094345093,128.3117196559906,GConvGRU
10,fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.4280638694763184,116.14180421829224,GConvGRU
11,fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.1824556589126587,113.23016953468324,GConvGRU
12,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.727182149887085,102.7831404209137,GConvGRU
13,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7307438850402832,108.35871863365172,GConvGRU
14,fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.6996772289276123,99.00135731697084,GConvGRU
15,fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.1878445148468018,99.97200274467468,GConvGRU
16,fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.3331003189086914,98.85933089256288,GConvGRU
17,fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.611226320266724,109.18606376647948,GConvGRU
18,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7320267558097839,118.01663970947266,GConvGRU
19,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7336909174919128,118.24288010597228,GConvGRU
20,fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.2676087617874146,114.73862075805664,GConvGRU
21,fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.1840753555297852,112.78773975372314,GConvGRU
22,fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.4244449138641355,113.6335470676422,GConvGRU
23,fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.2666149139404297,119.38633227348328,GConvGRU
24,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7305824756622314,101.38800072669984,GConvGRU
25,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7271746397018433,107.85377955436708,GConvGRU
26,fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.8682361841201784,114.07605075836182,GConvGRU
27,fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.3149030208587646,105.17128252983092,GConvGRU
28,fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.38904881477356,99.55422592163086,GConvGRU
29,fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.734868288040161,106.56598091125488,GConvGRU
30,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7374117374420166,132.1365385055542,GConvGRU
31,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7277122139930725,113.0942406654358,GConvGRU
32,fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.1030831336975098,122.35967969894408,GConvGRU
33,fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.0852394104003906,132.88437604904175,GConvGRU
34,fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.3374898433685305,140.39959478378296,GConvGRU
35,fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.351335525512695,158.94476580619812,GConvGRU
36,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.732612669467926,113.93584537506104,GConvGRU
37,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7240287065505981,118.67152404785156,GConvGRU
38,fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.8164211511611936,115.28978037834167,GConvGRU
39,fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.299576997756958,118.28659462928772,GConvGRU
40,fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.235262155532837,122.47945952415466,GConvGRU
41,fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.643666982650757,122.2109670639038,GConvGRU
42,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7358532547950745,136.57059836387634,GConvGRU
43,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7324591279029846,144.08376812934875,GConvGRU
44,fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.1596455574035645,141.34393286705017,GConvGRU
45,fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.0957611799240112,149.0423300266266,GConvGRU
46,fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.3015875816345217,147.7663221359253,GConvGRU
47,fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.2330349683761597,135.0909445285797,GConvGRU
48,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7349842190742493,114.51055812835692,GConvGRU
49,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7341195940971375,119.13274359703064,GConvGRU
50,fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.9312880039215088,119.68101501464844,GConvGRU
51,fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.150129556655884,129.91924047470093,GConvGRU
52,fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.349104166030884,119.17171335220335,GConvGRU
53,fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.742196559906006,115.9426851272583,GConvGRU
54,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.731501042842865,137.02446913719177,GConvGRU
55,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7298939228057861,143.29943656921387,GConvGRU
56,fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.1957968473434448,135.26314163208008,GConvGRU
57,fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.21571683883667,135.47437644004822,GConvGRU
58,fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.4039689302444458,137.56146383285522,GConvGRU
59,fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.3668131828308103,136.4213798046112,GConvGRU
60,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7339272499084473,121.92175149917604,GConvGRU
61,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7365766763687134,114.39069414138794,GConvGRU
62,fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.877508759498596,114.22763442993164,GConvGRU
63,fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.336416721343994,113.7333598136902,GConvGRU
64,fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.517601490020752,116.79539251327516,GConvGRU
65,fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.4574265480041504,127.32244992256165,GConvGRU
66,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7328912615776062,135.65838861465454,GConvGRU
67,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7330715656280518,142.3443570137024,GConvGRU
68,fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.1960399150848389,137.43869161605835,GConvGRU
69,fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.0880028009414673,141.3916232585907,GConvGRU
70,fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.285711646080017,139.89287972450256,GConvGRU
71,fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.425040602684021,136.24650859832764,GConvGRU
