dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,STGCN,0.0,,4,8,,50,1.2043427228927612,5.180605173110962
pedalme,STGCN,0.0,,4,8,,50,1.1984819173812866,4.984905004501343
pedalme,STGCN,0.3,rand,4,8,linear,50,1.251491904258728,5.288539171218872
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.3327178955078125,5.600400686264038
pedalme,STGCN,0.6,rand,4,8,linear,50,1.4151257276535034,5.518494129180908
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.2873727083206177,5.405078887939453
pedalme,IT-STGCN,0.0,,4,8,,50,1.192924976348877,6.547860145568848
pedalme,IT-STGCN,0.0,,4,8,,50,1.2181285619735718,6.663072109222412
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.2032456398010254,6.913206338882446
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.293362021446228,6.7470433712005615
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.342273831367493,7.304995059967041
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.2959202527999878,7.586743354797363
pedalme,STGCN,0.0,,4,8,,50,1.2435615062713623,6.393736600875855
pedalme,STGCN,0.0,,4,8,,50,1.2146172523498535,6.241868495941162
pedalme,STGCN,0.3,rand,4,8,linear,50,1.260650634765625,6.184366464614868
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.3289803266525269,6.297180652618408
pedalme,STGCN,0.6,rand,4,8,linear,50,1.4508041143417358,6.397669315338135
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.5065743923187256,6.017523050308228
pedalme,IT-STGCN,0.0,,4,8,,50,1.1348416805267334,7.123415946960449
pedalme,IT-STGCN,0.0,,4,8,,50,1.1405924558639526,7.007767915725708
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.2298675775527954,7.480492830276489
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.22848641872406,6.282979488372803
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.2821998596191406,6.41437554359436
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.28765606880188,5.8038105964660645
pedalme,STGCN,0.0,,4,8,,50,1.2303950786590576,4.831273794174194
pedalme,STGCN,0.0,,4,8,,50,1.159574270248413,4.934370040893555
pedalme,STGCN,0.3,rand,4,8,linear,50,1.2217661142349243,4.832986116409302
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.5044673681259155,4.174288034439087
pedalme,STGCN,0.6,rand,4,8,linear,50,1.404819130897522,3.831526041030884
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.5887669324874878,3.8358616828918457
