dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.1620255708694458,3.154961109161377
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.2746282815933228,3.265251398086548
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.2519450187683103,4.70482325553894
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.2644376754760742,4.722148418426514
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.195207118988037,3.3279385566711426
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.2815033197402954,3.4332284927368164
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.345134139060974,4.283535480499268
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.309915542602539,4.510889291763306
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.28920578956604,3.304655075073242
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.2243086099624634,3.140150547027588
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.2628313302993774,5.129501581192017
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.2141594886779783,4.603236675262451
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.235575556755066,2.879704236984253
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.201937913894653,3.0881688594818115
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.1898356676101685,4.40847373008728
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.21923828125,4.421857118606567
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.4006730318069458,3.220517158508301
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.271440029144287,3.288249254226685
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.5789564847946167,4.479898691177368
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.191045880317688,4.8002777099609375
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.2151323556900024,3.077815294265747
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.1694719791412354,3.068878173828125
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.2868990898132324,4.279978275299072
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.2552326917648315,4.255435943603516
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.258569359779358,3.044707775115967
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.232696294784546,2.99739146232605
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.360675811767578,4.187140226364136
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.2113912105560305,4.503716468811035
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.2541418075561523,3.328967571258545
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.244434475898743,3.3371152877807617
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.205502152442932,4.432612657546997
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.258339762687683,4.224614381790161
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.2933220863342283,3.0803868770599365
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.1511521339416504,3.04507064819336
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.240856409072876,4.237788915634155
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.2635185718536377,4.367940664291382
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.2325838804244995,2.8366129398345947
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.2700421810150146,2.84436297416687
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.2263648509979248,3.845069408416748
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.234607219696045,3.866746425628662
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.1918104887008667,2.7075672149658203
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.3572494983673096,2.727306842803955
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.2739337682724,3.8192994594573975
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.3079973459243774,3.841276407241821
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.2318440675735474,2.7141571044921875
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.4237500429153442,2.7315077781677246
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.2412773370742798,3.851207971572876
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.2108895778656006,3.811899423599243
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.2694004774093628,2.7076542377471924
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.2044612169265747,2.689142227172852
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.211398720741272,3.507603645324707
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.199380874633789,3.357664108276367
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.2633768320083618,2.359364748001098
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.202993869781494,2.352454900741577
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.1887829303741455,3.32361388206482
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.186381459236145,3.305139541625977
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.2927026748657229,2.6304867267608643
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.2665863037109375,2.432875156402588
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.184502124786377,3.405630588531494
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.184145212173462,3.411484718322754
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.2211024761199951,2.434786558151245
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.1688553094863892,2.6611883640289307
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.2417060136795044,4.176706075668335
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.164957046508789,4.090986013412476
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.4384312629699707,2.9154722690582275
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.2639180421829224,2.773479461669922
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.17295503616333,3.9832377433776855
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.2231436967849731,3.9854836463928223
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.1705663204193115,2.890526056289673
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.3102965354919434,3.029623031616211
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.2209138870239258,4.15026330947876
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.2328953742980957,4.148913860321045
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.1848527193069458,2.96444034576416
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.3222670555114746,2.99106240272522
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.2322392463684082,4.0709068775177
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.204160451889038,4.007323980331421
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.2834726572036743,2.9439871311187744
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.4804898500442505,2.465331792831421
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.1838502883911133,3.3017897605896
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.2511847019195557,3.341752290725708
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.2565597295761108,2.337387084960937
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.2999540567398071,2.3986363410949707
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.253328561782837,3.3215086460113525
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.2599217891693115,3.323759078979492
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.252983331680298,2.813850164413452
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.219070553779602,3.0345113277435303
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.4553083181381226,4.187222242355347
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.2655246257781982,4.051713705062866
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.1875768899917605,2.409421682357788
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.2623058557510376,2.402116060256958
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.211375117301941,3.346724033355713
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.2033638954162598,3.351764678955078
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.205280065536499,2.41044020652771
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.2642714977264404,1.867520809173584
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.2567987442016602,2.496077060699463
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.125958800315857,2.4803593158721924
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.1570008993148804,1.849602460861206
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.2840648889541626,1.8411839008331297
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.2810959815979004,2.494435310363769
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.2216750383377075,2.4885928630828857
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.2200250625610352,1.8424205780029297
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.3409743309020996,1.8360381126403809
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.2163591384887695,2.4812307357788086
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.191788673400879,2.533323287963867
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.2058756351470947,1.8446173667907717
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.2659348249435425,1.8394477367401123
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.2703149318695068,2.4861199855804443
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.218940258026123,2.503908634185791
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.1065940856933594,1.8274431228637693
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.2863004207611084,1.8514485359191892
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.255460500717163,2.6794819831848145
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.2068127393722534,2.598295211791992
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.3968875408172607,1.785310983657837
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.2220361232757568,1.9747450351715088
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.1905463933944702,3.358034372329712
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.201847791671753,2.482240915298462
pedalme,STGCN,0.2857142857142857,block,4,2,linear,50,1.2943731546401978,1.823885202407837
pedalme,STGCN,0.2857142857142857,block,4,2,nearest,50,1.1923915147781372,1.8090732097625728
pedalme,IT-STGCN,0.2857142857142857,block,4,2,linear,50,1.2768031358718872,2.805596113204956
pedalme,IT-STGCN,0.2857142857142857,block,4,2,nearest,50,1.1758264303207395,2.6372339725494385
pedalme,STGCN,0.0,,4,2,,50,1.1965144872665403,2.3612351417541504
pedalme,STGCN,0.0,,4,2,,50,1.1997785568237305,2.3267831802368164
pedalme,STGCN,0.3,rand,4,2,linear,50,1.2039942741394043,2.3200411796569824
pedalme,STGCN,0.3,rand,4,2,nearest,50,1.1101572513580322,2.38647985458374
pedalme,STGCN,0.6,rand,4,2,linear,50,1.289082646369934,1.9414777755737305
pedalme,STGCN,0.6,rand,4,2,nearest,50,1.293630599975586,2.2564806938171387
pedalme,IT-STGCN,0.0,,4,2,,50,1.2672700881958008,3.3245177268981934
pedalme,IT-STGCN,0.0,,4,2,,50,1.1928386688232422,3.210836172103882
pedalme,IT-STGCN,0.3,rand,4,2,linear,50,1.2712870836257937,3.270358085632324
pedalme,IT-STGCN,0.3,rand,4,2,nearest,50,1.274396896362305,3.3744430541992188
pedalme,IT-STGCN,0.6,rand,4,2,linear,50,1.26632821559906,2.852536678314209
pedalme,IT-STGCN,0.6,rand,4,2,nearest,50,1.327752709388733,3.3318865299224854
pedalme,STGCN,0.0,,4,2,,50,1.2552257776260376,2.3340935707092285
pedalme,STGCN,0.0,,4,2,,50,1.2526144981384275,2.2103734016418457
pedalme,STGCN,0.3,rand,4,2,linear,50,1.289469599723816,1.8952319622039795
pedalme,STGCN,0.3,rand,4,2,nearest,50,1.221222162246704,2.407265901565552
pedalme,STGCN,0.6,rand,4,2,linear,50,1.2726627588272097,2.375532388687134
pedalme,STGCN,0.6,rand,4,2,nearest,50,1.3253791332244873,1.981870412826538
pedalme,IT-STGCN,0.0,,4,2,,50,1.318574070930481,2.5517807006835938
pedalme,IT-STGCN,0.0,,4,2,,50,1.252319097518921,3.164867162704468
pedalme,IT-STGCN,0.3,rand,4,2,linear,50,1.2811387777328491,3.358048915863037
pedalme,IT-STGCN,0.3,rand,4,2,nearest,50,1.2329634428024292,3.313079595565796
pedalme,IT-STGCN,0.6,rand,4,2,linear,50,1.3846482038497925,3.379002094268799
pedalme,IT-STGCN,0.6,rand,4,2,nearest,50,1.3963398933410645,2.8215808868408203
pedalme,STGCN,0.0,,4,2,,50,1.1847280263900757,2.0363245010375977
pedalme,STGCN,0.0,,4,2,,50,1.1993101835250854,2.705559730529785
pedalme,STGCN,0.3,rand,4,2,linear,50,1.2663837671279907,2.6202328205108643
