dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
chickenpox,STGCN,0.3,rand,4,32,linear,50,1.099887132644653,211.19841837883
chickenpox,STGCN,0.8,rand,4,32,linear,50,2.5444018840789795,232.9724133014679
chickenpox,IT-STGCN,0.3,rand,4,32,linear,50,0.8692970871925354,263.3741648197174
chickenpox,IT-STGCN,0.8,rand,4,32,linear,50,1.408270001411438,252.72253155708316
chickenpox,STGCN,0.3,rand,4,32,linear,50,1.1611595153808594,223.68386816978452
chickenpox,STGCN,0.8,rand,4,32,linear,50,2.630146741867065,243.895277261734
chickenpox,IT-STGCN,0.3,rand,4,32,linear,50,0.8449809551239014,226.35843229293823
chickenpox,IT-STGCN,0.8,rand,4,32,linear,50,1.6073064804077148,270.1232807636261
chickenpox,STGCN,0.3,rand,4,32,linear,50,1.0309064388275146,246.71990180015564
chickenpox,STGCN,0.8,rand,4,32,linear,50,2.384645700454712,222.847594499588
chickenpox,IT-STGCN,0.3,rand,4,32,linear,50,0.8133566379547119,255.268807888031
chickenpox,IT-STGCN,0.8,rand,4,32,linear,50,1.412209153175354,237.97875332832336
chickenpox,STGCN,0.3,rand,4,32,linear,50,1.1629021167755127,213.69646382331848
chickenpox,STGCN,0.8,rand,4,32,linear,50,2.600013256072998,257.98427987098694
chickenpox,IT-STGCN,0.3,rand,4,32,linear,50,0.8737065196037292,253.23987531661987
chickenpox,IT-STGCN,0.8,rand,4,32,linear,50,1.4006143808364868,246.7557556629181
chickenpox,STGCN,0.3,rand,4,32,linear,50,1.029935359954834,212.02135157585144
chickenpox,STGCN,0.8,rand,4,32,linear,50,2.578941583633423,227.1709907054901
chickenpox,IT-STGCN,0.3,rand,4,32,linear,50,0.8675554990768433,250.448605298996
chickenpox,IT-STGCN,0.8,rand,4,32,linear,50,1.4836331605911257,256.26345920562744
chickenpox,STGCN,0.3,rand,4,32,linear,50,1.0674182176589966,244.06328296661377
chickenpox,STGCN,0.8,rand,4,32,linear,50,2.505772590637207,316.8633623123169
chickenpox,IT-STGCN,0.3,rand,4,32,linear,50,0.8229553699493408,275.43871426582336
chickenpox,IT-STGCN,0.8,rand,4,32,linear,50,1.3905322551727295,251.83889198303223
chickenpox,STGCN,0.3,rand,4,32,linear,50,1.134744644165039,414.064079284668
chickenpox,STGCN,0.8,rand,4,32,linear,50,2.56313157081604,177.77768635749817
