dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.5337543487548828,3014.532727003097
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0979100465774536,37560.56212186813
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.393934726715088,2982.526484489441
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1182399988174438,37101.930859565735
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.384474277496338,3061.352147579193
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.104886770248413,37291.83202266693
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.5599366426467896,3065.6706249713898
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1089767217636108,36949.03646993637
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.466289520263672,2949.354959964752
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0985108613967896,35670.55569982529
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.4168696403503418,3009.162924051285
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1093207597732544,29441.942076444622
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.4981822967529297,2944.9164068698883
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1090728044509888,31384.00519561768
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.62368643283844,3118.4386315345764
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.118575096130371,40414.2509572506
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.468629002571106,3162.828151226044
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1056376695632937,44950.87171387672
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.4746434688568115,3153.268982648849
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1316322088241575,46054.35369443893
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.4230247735977173,3150.728458881378
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0981179475784302,46635.26649451256
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.6288270950317385,2971.489550590515
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1146564483642578,48514.7066860199
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.3478728532791138,3146.388324022293
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0997347831726074,37588.44421315193
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.6366326808929443,3079.2434170246124
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0879207849502563,34684.3356730938
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.518847107887268,2866.091894388199
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1152929067611694,33564.76953649521
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.4952160120010376,2970.229492664337
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1137495040893557,34545.84581875801
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.5065735578536987,3121.841046333313
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.121348857879639,31500.92265343666
