dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.345198154449463,2110.974434375763
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0704081058502195,43744.09819626808
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.3376150131225586,2084.064283847809
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0845017433166504,44200.184920310974
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.379827857017517,2047.6054663658144
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.083838939666748,42264.18092012405
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.2475700378417969,2177.531550645828
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0843042135238647,44161.86274933815
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.2765164375305176,2097.2073283195496
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0611411333084106,44334.18362617493
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.2719619274139404,2184.1335282325745
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0635840892791748,44720.83739233017
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.2387412786483765,2037.4466688632965
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0604227781295776,44389.748787641525
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.3070170879364014,2046.645794630051
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0901048183441162,44360.59513258934
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.3697184324264526,2029.797499418259
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0592488050460815,42686.88282132149
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.3032664060592651,2031.053293466568
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0835381746292114,44344.711804151535
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.310283660888672,2096.585528612137
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0832411050796509,44297.345687389374
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.278644323348999,2165.2947890758514
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0579222440719604,40036.183334589005
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.3251211643218994,2015.2010910511017
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0592145919799805,28170.694662570957
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.3444207906723022,2034.646891593933
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.074598789215088,33037.9579167366
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.2723215818405151,2097.322682619095
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0730756521224976,46759.614706516266
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.2930576801300049,2020.3211903572085
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0836349725723269,34387.04936504364
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.281270980834961,2184.478186130524
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0595107078552246,43190.17987751961
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.2721456289291382,1327.5213334560394
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.082958698272705,41134.73425364494
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.282770752906799,2036.3809518814087
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.071204662322998,29733.38147163391
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.3527841567993164,1927.648264169693
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0706300735473633,29335.759130477905
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.2990522384643557,1974.689566373825
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0483229160308838,29319.93045401573
windmillsmall,STGCN,0.0812907673198108,block,8,12,linear,50,0.9880650043487548,3363.456225156784
windmillsmall,IT-STGCN,0.0812907673198108,block,8,12,linear,50,0.9941729307174684,41104.72743320465
windmillsmall,STGCN,0.0812907673198108,block,8,12,linear,50,0.9830747246742249,1270.0682606697085
windmillsmall,IT-STGCN,0.0812907673198108,block,8,12,linear,50,1.0026799440383911,40508.539192438126
windmillsmall,STGCN,0.0812907673198108,block,8,12,linear,50,0.9934050440788268,2039.1847069263456
windmillsmall,IT-STGCN,0.0812907673198108,block,8,12,linear,50,0.9874914288520812,29312.699721097943
windmillsmall,STGCN,0.0812907673198108,block,8,12,linear,50,0.9865166544914246,1933.596167087555
windmillsmall,IT-STGCN,0.0812907673198108,block,8,12,linear,50,0.9896615743637084,28388.121405363083
windmillsmall,STGCN,0.0812907673198108,block,8,12,linear,50,0.9964544773101808,2093.663197517395
windmillsmall,IT-STGCN,0.0812907673198108,block,8,12,linear,50,0.985504984855652,28681.710443735123
windmillsmall,STGCN,0.0812907673198108,block,8,12,linear,50,0.9996264576911926,1911.684679031372
windmillsmall,IT-STGCN,0.0812907673198108,block,8,12,linear,50,0.9841434359550476,31964.254755973816
