dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
windmillsmall,STGCN,0.0,,8,12,,50,1.003723382949829,4030.475187778473
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.0020573139190674,28000.061631202698
windmillsmall,STGCN,0.0,,8,12,,50,1.011616587638855,3415.458008289337
windmillsmall,IT-STGCN,0.0,,8,12,,50,0.9968178272247314,24956.380519151688
windmillsmall,STGCN,0.0,,8,12,,50,0.9980496764183044,4021.096704483032
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.0045486688613892,33931.7881128788
windmillsmall,STGCN,0.0,,8,12,,50,1.0033154487609863,4082.094817399978
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.009578824043274,32030.000356674194
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.639785885810852,4142.791871547699
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.2179172039031982,34130.41156578064
windmillsmall,STGCN,0.0,,8,12,,50,0.9988692998886108,4226.374947786331
windmillsmall,IT-STGCN,0.0,,8,12,,50,0.9995062947273254,39034.35025978088
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.7331209182739258,4349.497847318649
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.133768081665039,33006.87902379036
windmillsmall,STGCN,0.0,,8,12,,50,1.0037741661071775,4295.345990657806
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.0058822631835938,31440.27171444893
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.6018610000610352,4117.7369911670685
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.195741057395935,29571.22892212868
windmillsmall,STGCN,0.0,,8,12,,50,0.998450517654419,4231.896802902222
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.0105490684509275,31834.96929860115
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.4919852018356323,4189.72061085701
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1655908823013306,31768.05827999115
windmillsmall,STGCN,0.0,,8,12,,50,1.007683038711548,4329.853998184204
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.000991702079773,32118.838546276093
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.5266964435577393,4184.767751216888
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1907001733779907,29558.793125391006
windmillsmall,STGCN,0.0,,8,12,,50,1.0046725273132324,4249.955767154694
windmillsmall,IT-STGCN,0.0,,8,12,,50,0.9967671632766724,31006.51591658592
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.6528875827789309,4131.397330522537
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.218139410018921,30063.793156147003
windmillsmall,STGCN,0.0,,8,12,,50,1.0055795907974243,4267.250277757645
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.0013799667358398,31186.071612596512
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.769862174987793,4157.292334318161
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1906901597976685,30093.2453186512
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.6632040739059448,4118.973601818085
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1183573007583618,25106.53739953041
windmillsmall,STGCN,0.0,,8,12,,50,0.9968136548995972,4291.417497396469
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.0040146112442017,31510.00589442253
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.6451725959777832,4267.748973846436
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.188376784324646,30595.04936265945
windmillsmall,STGCN,0.0,,8,12,,50,0.9959365725517272,4338.668879508972
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.0031883716583252,25943.61223459244
windmillsmall,STGCN,0.0,,8,12,,50,0.9977921843528748,3335.902527809143
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.0005638599395752,23635.00777196884
windmillsmall,STGCN,0.0,,8,12,,50,1.001634120941162,3371.5713872909546
windmillsmall,IT-STGCN,0.0,,8,12,,50,0.999513864517212,23705.269168138504
windmillsmall,STGCN,0.0,,8,12,,50,1.0085525512695312,3477.4343028068542
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.008631706237793,31485.003423452377
windmillsmall,STGCN,0.0,,8,12,,50,1.0049670934677124,3634.779595375061
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.0003373622894287,30408.71755886078
windmillsmall,STGCN,0.0,,8,12,,50,1.0078545808792114,3621.071529150009
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.0036839246749878,29763.8719432354
windmillsmall,STGCN,0.0,,8,12,,50,1.0000970363616943,4177.565408706665
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.0083518028259275,27356.265645504
windmillsmall,STGCN,0.0,,8,12,,50,1.0095155239105225,4143.929176330566
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.0013049840927124,25070.412511587143
windmillsmall,STGCN,0.0,,8,12,,50,1.004513382911682,4263.834888935089
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.000389575958252,28486.28408002853
windmillsmall,STGCN,0.0,,8,12,,50,1.000316500663757,4257.552788257599
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.006425857543945,30573.899175167084
windmillsmall,STGCN,0.0,,8,12,,50,1.0032386779785156,4272.072741746903
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.0120161771774292,25812.284977912903
windmillsmall,STGCN,0.0,,8,12,,50,1.0060263872146606,4318.3228495121
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.0068025588989258,27562.75813984871
windmillsmall,STGCN,0.0,,8,12,,50,0.9984254240989684,4404.117087841034
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.0047415494918823,32264.09987521172
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.689861536026001,3166.771209716797
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.2327754497528076,30657.95492720604
windmillsmall,STGCN,0.0,,8,12,,50,1.0037801265716553,3197.716315507889
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.0015296936035156,30936.81739974022
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.6317678689956665,3182.6765897274017
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.2153379917144775,29533.530094861984
windmillsmall,STGCN,0.0,,8,12,,50,1.0043063163757324,3274.793715953827
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.003840446472168,29999.441343545917
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.6319561004638672,3410.5372705459595
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1715433597564695,30770.92516231537
windmillsmall,STGCN,0.0,,8,12,,50,0.9971990585327148,3361.0303876399994
windmillsmall,IT-STGCN,0.0,,8,12,,50,0.9982984662055968,31138.480871915817
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.684937596321106,3520.0759449005127
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1864171028137207,25601.855383634567
windmillsmall,STGCN,0.0,,8,12,,50,1.00352144241333,3511.454836130142
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.0067968368530271,25532.675856113437
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.5746232271194458,3112.238717317581
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.3070008754730225,26214.19779896736
windmillsmall,STGCN,0.0,,8,12,,50,1.0079997777938845,3122.7439556121826
windmillsmall,IT-STGCN,0.0,,8,12,,50,1.0099424123764038,27025.256222486496
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.760940670967102,3581.143775463104
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.223332762718201,29300.152733802795
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.779533863067627,3887.619639635086
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.176724195480347,30594.93727278709
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.7015661001205444,4194.678536891937
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1554431915283203,37083.352598428726
