dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
windmillsmall,STGCN,0.7,rand,8,4,linear,50,1.3293838500976562,1647.29429769516
windmillsmall,IT-STGCN,0.7,rand,8,4,linear,50,1.132843255996704,40479.0376405716
windmillsmall,STGCN,0.7,rand,8,4,linear,50,1.4045833349227903,1619.3423302173617
windmillsmall,IT-STGCN,0.7,rand,8,4,linear,50,1.061457276344299,44437.2447245121
windmillsmall,STGCN,0.7,rand,8,4,linear,50,1.3866568803787231,1667.4931709766388
windmillsmall,IT-STGCN,0.7,rand,8,4,linear,50,1.1077182292938232,41752.4341070652
windmillsmall,STGCN,0.7,rand,8,4,linear,50,1.3634647130966189,1614.5518658161163
windmillsmall,IT-STGCN,0.7,rand,8,4,linear,50,1.1392972469329834,41892.48497533798
windmillsmall,STGCN,0.7,rand,8,4,linear,50,1.381879806518555,1567.9952461719513
windmillsmall,IT-STGCN,0.7,rand,8,4,linear,50,1.052475094795227,35849.65273094177
windmillsmall,STGCN,0.7,rand,8,4,linear,50,1.381879806518555,1567.9952461719513
windmillsmall,IT-STGCN,0.7,rand,8,4,linear,50,1.052475094795227,35849.65273094177
windmillsmall,STGCN,0.7,rand,8,4,linear,50,1.3762553930282593,1582.409913778305
windmillsmall,IT-STGCN,0.7,rand,8,4,linear,50,1.051599383354187,34607.68939805031
windmillsmall,STGCN,0.7,rand,8,4,linear,50,1.3080636262893677,1596.3870041370392
windmillsmall,IT-STGCN,0.7,rand,8,4,linear,50,1.1329606771469116,43655.114850997925
windmillsmall,STGCN,0.7,rand,8,4,linear,50,1.3004755973815918,1647.6310172080994
windmillsmall,IT-STGCN,0.7,rand,8,4,linear,50,1.1202908754348757,38887.90095353127
windmillsmall,STGCN,0.7,rand,8,4,linear,50,1.4434844255447388,1665.8115618228912
windmillsmall,IT-STGCN,0.7,rand,8,4,linear,50,1.1356345415115356,41956.16277456284
windmillsmall,STGCN,0.7,rand,8,4,linear,50,1.3245362043380735,1628.4883737564087
windmillsmall,IT-STGCN,0.7,rand,8,4,linear,50,1.132283091545105,41068.64684200287
windmillsmall,STGCN,0.7,rand,8,4,linear,50,1.2887752056121826,1661.4009273052216
windmillsmall,IT-STGCN,0.7,rand,8,4,linear,50,1.159412145614624,38329.303383111954
windmillsmall,STGCN,0.7,rand,8,4,linear,50,1.393198013305664,1652.1078610420227
windmillsmall,IT-STGCN,0.7,rand,8,4,linear,50,1.1393296718597412,39862.30533838272
windmillsmall,STGCN,0.7,rand,8,4,linear,50,1.4555766582489014,1601.5338702201843
windmillsmall,IT-STGCN,0.7,rand,8,4,linear,50,1.126275658607483,38465.1232008934
