dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
fivenodes,GNAR,0.0,,2,,,,1.4068299531936646,0.0219810009002685
fivenodes,GNAR,0.0,,2,,,,1.4068299531936646,0.0171513557434082
fivenodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0849597454071044
fivenodes,GNAR,0.7,rand,2,,nearest,,1.4068299531936646,0.0108528137207031
fivenodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0120608806610107
fivenodes,GNAR,0.8,rand,2,,nearest,,1.4068299531936646,0.0120058059692382
fivenodes,GNAR,0.0,,2,,,,1.4068299531936646,0.0122687816619873
fivenodes,GNAR,0.0,,2,,,,1.4068299531936646,0.0089752674102783
fivenodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.00923752784729
fivenodes,GNAR,0.7,rand,2,,nearest,,1.4068299531936646,0.0099854469299316
fivenodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0097718238830566
fivenodes,GNAR,0.8,rand,2,,nearest,,1.4068299531936646,0.0104689598083496
fivenodes,GNAR,0.0,,2,,,,1.4068299531936646,0.0094003677368164
fivenodes,GNAR,0.0,,2,,,,1.4068299531936646,0.0093998908996582
fivenodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0100407600402832
fivenodes,GNAR,0.7,rand,2,,nearest,,1.4068299531936646,0.0103521347045898
fivenodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.011359691619873
fivenodes,GNAR,0.8,rand,2,,nearest,,1.4068299531936646,0.0095291137695312
chickenpox,GNAR,0.0,,4,,,,1.4274942874908447,0.0873804092407226
chickenpox,GNAR,0.3,rand,4,,linear,,1.4274942874908447,0.086310863494873
chickenpox,GNAR,0.8,rand,4,,linear,,1.4274942874908447,0.1016061305999755
chickenpox,GNAR,0.0,,4,,,,1.4274942874908447,0.1005449295043945
chickenpox,GNAR,0.3,rand,4,,linear,,1.4274942874908447,0.0843837261199951
chickenpox,GNAR,0.8,rand,4,,linear,,1.4274942874908447,0.0957987308502197
chickenpox,GNAR,0.0,,4,,,,1.4274942874908447,0.1354894638061523
chickenpox,GNAR,0.3,rand,4,,linear,,1.4274942874908447,0.0973618030548095
chickenpox,GNAR,0.8,rand,4,,linear,,1.4274942874908447,0.1081249713897705
pedalme,GNAR,0.0,,4,,,,1.3026788234710691,0.0319306850433349
pedalme,GNAR,0.0,,4,,,,1.3026788234710691,0.027078628540039
pedalme,GNAR,0.3,rand,4,,linear,,1.3026788234710691,0.0367708206176757
pedalme,GNAR,0.3,rand,4,,nearest,,1.3026788234710691,0.0223493576049804
pedalme,GNAR,0.6,rand,4,,linear,,1.3026788234710691,0.0222783088684082
pedalme,GNAR,0.6,rand,4,,nearest,,1.3026788234710691,0.0299766063690185
pedalme,GNAR,0.0,,4,,,,1.3026788234710691,0.0220069885253906
