dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,STGCN,0.0,,4,8,,50,1.134358525276184,2.803956985473633
pedalme,STGCN,0.0,,4,8,,50,1.1265015602111816,2.6585702896118164
pedalme,STGCN,0.3,rand,4,8,linear,50,1.30249285697937,2.7460198402404785
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.2007371187210083,2.810633420944214
pedalme,STGCN,0.6,rand,4,8,linear,50,1.5980409383773804,3.034179925918579
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.5240265130996704,3.187257766723633
pedalme,IT-STGCN,0.0,,4,8,,50,1.1247373819351196,4.378719091415405
pedalme,IT-STGCN,0.0,,4,8,,50,1.0975310802459717,4.168490886688232
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.2064249515533447,4.257710695266724
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.1777883768081665,4.284069299697876
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.2741950750350952,4.231937646865845
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.3190703392028809,4.348385572433472
pedalme,STGCN,0.0,,4,8,,50,1.120166301727295,3.214374303817749
pedalme,STGCN,0.0,,4,8,,50,1.141761064529419,3.2724857330322266
pedalme,STGCN,0.3,rand,4,8,linear,50,1.250288009643555,3.257953643798828
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.2372727394104004,3.222028970718384
pedalme,STGCN,0.6,rand,4,8,linear,50,1.527603268623352,3.081796407699585
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.538533329963684,3.3933568000793457
pedalme,IT-STGCN,0.0,,4,8,,50,1.148044228553772,4.692101240158081
pedalme,IT-STGCN,0.0,,4,8,,50,1.126736402511597,4.456523895263672
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.1511523723602295,4.004342079162598
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.1866984367370603,4.122934341430664
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.2456923723220823,3.985504388809204
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.3102021217346191,3.956114053726196
pedalme,STGCN,0.0,,4,8,,50,1.1317309141159058,2.9708058834075928
pedalme,STGCN,0.0,,4,8,,50,1.119295358657837,2.8232340812683105
pedalme,STGCN,0.3,rand,4,8,linear,50,1.2267895936965942,2.997002363204956
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.2807483673095703,3.354491233825684
pedalme,STGCN,0.6,rand,4,8,linear,50,1.4709231853485107,3.372924327850342
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.369353413581848,2.869076728820801
pedalme,IT-STGCN,0.0,,4,8,,50,1.1496071815490725,4.165809631347656
pedalme,IT-STGCN,0.0,,4,8,,50,1.1527644395828247,4.2565460205078125
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.2056282758712769,4.256560325622559
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.2464672327041626,4.317235231399536
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.3792871236801147,4.274150133132935
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.2343310117721558,4.264599084854126
pedalme,STGCN,0.0,,4,8,,50,1.1251906156539917,3.156987428665161
pedalme,STGCN,0.0,,4,8,,50,1.1301788091659546,2.9308958053588867
pedalme,STGCN,0.3,rand,4,8,linear,50,1.3025062084197998,2.9774956703186035
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.2523428201675415,2.998839855194092
pedalme,STGCN,0.6,rand,4,8,linear,50,1.6845545768737793,3.1299610137939453
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.4599568843841553,3.134470701217652
pedalme,IT-STGCN,0.0,,4,8,,50,1.1322554349899292,4.309513807296753
pedalme,IT-STGCN,0.0,,4,8,,50,1.1188738346099854,4.3524329662323
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.2152386903762815,4.078135251998901
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.148858904838562,4.012881278991699
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.2252458333969116,4.370411157608032
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.3296149969100952,4.407752513885498
pedalme,STGCN,0.0,,4,8,,50,1.1427146196365356,3.1865029335021973
pedalme,STGCN,0.0,,4,8,,50,1.121113896369934,3.2241852283477783
pedalme,STGCN,0.3,rand,4,8,linear,50,1.215259075164795,3.2186007499694824
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.2716457843780518,3.2342422008514404
pedalme,STGCN,0.6,rand,4,8,linear,50,1.396415948867798,3.1677908897399902
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.546334743499756,3.122596502304077
pedalme,IT-STGCN,0.0,,4,8,,50,1.125724196434021,4.288455247879028
pedalme,IT-STGCN,0.0,,4,8,,50,1.1327065229415894,4.3263819217681885
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.1626392602920532,4.371845960617065
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.20198655128479,4.24368953704834
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.426441311836243,4.368352651596069
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.3004885911941528,4.57986855506897
pedalme,STGCN,0.0,,4,8,,50,1.1609742641448977,3.3214805126190186
pedalme,STGCN,0.0,,4,8,,50,1.1187273263931274,3.313586711883545
pedalme,STGCN,0.3,rand,4,8,linear,50,1.259806513786316,3.2174530029296875
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.308620810508728,2.992784261703491
pedalme,STGCN,0.6,rand,4,8,linear,50,1.527652382850647,3.141393184661865
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.502239227294922,3.040036678314209
pedalme,IT-STGCN,0.0,,4,8,,50,1.1401344537734983,4.004910469055176
pedalme,IT-STGCN,0.0,,4,8,,50,1.12626850605011,4.077063083648682
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.1934545040130615,4.427182197570801
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.1190452575683594,4.185525178909302
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.2571231126785278,3.9584689140319824
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.2738691568374634,4.20395565032959
pedalme,STGCN,0.0,,4,8,,50,1.118952393531799,3.1373274326324463
pedalme,STGCN,0.0,,4,8,,50,1.1381723880767822,3.2458417415618896
pedalme,STGCN,0.3,rand,4,8,linear,50,1.2386032342910769,3.044144868850708
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.2358145713806152,2.9157440662384038
pedalme,STGCN,0.6,rand,4,8,linear,50,1.6402959823608398,2.900734663009644
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.5453391075134275,3.1821529865264893
pedalme,IT-STGCN,0.0,,4,8,,50,1.126083254814148,4.428541660308838
pedalme,IT-STGCN,0.0,,4,8,,50,1.1398162841796875,4.288985013961792
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.1799614429473877,4.1998913288116455
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.1387659311294556,4.17477560043335
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.2623558044433594,4.374734401702881
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.2742210626602173,4.267002105712891
pedalme,STGCN,0.0,,4,8,,50,1.1427946090698242,3.061028242111206
pedalme,STGCN,0.0,,4,8,,50,1.1183913946151731,3.0617117881774902
pedalme,STGCN,0.3,rand,4,8,linear,50,1.2521203756332395,3.2902278900146484
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.2152674198150637,3.3059468269348145
pedalme,STGCN,0.6,rand,4,8,linear,50,1.480834722518921,3.327399492263794
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.4616283178329468,3.4519758224487305
pedalme,IT-STGCN,0.0,,4,8,,50,1.1251047849655151,4.138935089111328
pedalme,IT-STGCN,0.0,,4,8,,50,1.1091190576553345,4.05622148513794
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.1852482557296753,4.184422254562378
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.1530276536941528,4.423990249633789
