dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.4002809524536133,68.26470971107483
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.3884350061416626,61.92061376571655
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.3976598978042605,52.69560170173645
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.3088388442993164,76.36389589309692
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.4168246984481812,69.10078263282776
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.365992546081543,59.32317018508911
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.5100915431976318,38.75483870506287
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.230613112449646,59.59602618217468
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.5101783275604248,77.33261299133301
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.194482445716858,63.435444593429565
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2676243782043457,49.113261699676514
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.3314378261566162,76.77191972732544
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.4826740026474,70.39806199073792
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.4028363227844238,61.76083183288574
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.247521996498108,38.546003341674805
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2360413074493408,60.27208423614502
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.5399911403656006,77.22246718406677
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.4170130491256714,63.39996147155762
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.28851318359375,48.596513509750366
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.5824875831604004,76.64119553565979
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.509279489517212,73.51386213302612
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.373310685157776,59.15199112892151
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.199287176132202,37.584927558898926
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2608296871185305,60.36615777015686
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.5124162435531616,81.23077034950256
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.459578514099121,63.30859041213989
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.343833327293396,40.89146137237549
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.177209496498108,80.08415961265564
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.390879511833191,71.11787557601929
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.37353253364563,56.547494649887085
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.3072947263717651,37.11431956291199
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2212973833084106,67.30479764938354
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.4901700019836426,75.7804844379425
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.3602511882781982,64.82647228240967
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.308873414993286,40.56959748268128
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.249585509300232,80.54132080078125
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.6012585163116455,70.76495885848999
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.289669394493103,54.57811999320984
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2261656522750854,37.23030853271485
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2402290105819702,74.54254841804504
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.255386471748352,73.74637460708618
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.468299388885498,60.586583614349365
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2789301872253418,46.84071493148804
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.316044569015503,81.54063892364502
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.6504905223846436,68.37896800041199
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.5085034370422363,49.16496777534485
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.1604266166687012,41.00391674041748
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.210738182067871,81.4555835723877
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.2476059198379517,69.53682160377502
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.4619823694229126,54.33395600318909
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.3549946546554563,52.82131862640381
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.197783350944519,83.98789572715759
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.4333196878433228,64.68026733398438
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.3151886463165283,44.3752167224884
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2590903043746948,46.83211541175842
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2284762859344482,82.51729202270508
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.2822569608688354,67.3337836265564
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.3935259580612185,48.89046382904053
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.3218278884887695,61.075519323349
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2068469524383545,84.76122856140137
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.3686236143112185,60.930814266204834
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.4508570432662964,41.44172143936157
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.3744372129440308,52.06109642982483
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2180659770965576,85.90432167053223
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.3468283414840698,65.72116208076477
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.2387139797210691,44.515302658081055
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2187548875808716,65.3219792842865
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2401034832000732,80.44783115386963
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.57442045211792,64.88293242454529
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.379372239112854,36.59830069541931
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2407923936843872,58.09534811973572
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2570466995239258,86.17489981651306
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.4887433052062988,62.6075279712677
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.313535451889038,40.646769523620605
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.3668313026428225,72.36050248146057
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2860815525054932,76.90414500236511
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.4912012815475464,62.69999623298645
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.4455053806304932,35.28218722343445
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2017357349395752,63.7025830745697
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.1925880908966064,82.60258388519287
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.4211469888687134,63.94884634017944
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.4114643335342407,37.54309606552124
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.253829002380371,77.5259518623352
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.3089834451675415,76.52911734580994
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.1979877948760986,58.47143006324768
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.4513499736785889,35.002647161483765
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2180382013320925,71.85111618041992
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2145133018493652,78.78413724899292
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.6741596460342407,62.963945150375366
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.4110493659973145,39.11239147186279
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.411244511604309,81.56941437721252
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2442665100097656,73.26189923286438
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.5688273906707764,53.32691049575806
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.3808213472366333,35.13545036315918
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2837220430374146,79.31492829322815
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2688976526260376,75.97836422920227
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.4472819566726685,57.45661115646362
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.41865873336792,45.94685125350952
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2610057592391968,82.45813775062561
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2681565284729004,69.49916648864746
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.70830500125885,48.66025638580322
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.4634771347045898,37.01982474327088
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.1936709880828855,80.5788779258728
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.240777611732483,74.3537905216217
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.5421446561813354,55.30799460411072
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.630479097366333,50.04945373535156
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2534817457199097,84.19466543197632
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2162506580352783,67.75259304046631
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.49120831489563,43.766756772995
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.3535759449005127,44.31379961967468
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.326106071472168,81.35696697235107
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.38106107711792,70.78979897499084
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.569929599761963,49.36782908439636
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.2729977369308472,56.668304681777954
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2640738487243652,84.94572043418884
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2007125616073608,66.22555732727051
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.5443016290664673,39.6480348110199
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.4316216707229614,48.88735485076904
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2690421342849731,84.69124364852905
