dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.1458725929260254,10.957345008850098
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.0945552587509155,12.740509748458862
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.1455888748168943,19.80652403831482
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2081420421600342,17.8700213432312
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.1583555936813354,12.73676872253418
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.1327195167541504,13.048126220703123
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.120072841644287,17.57264232635498
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.1402844190597534,18.9626533985138
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.2209336757659912,12.499769687652588
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.1166131496429443,12.003625392913818
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.3270177841186523,16.647117376327515
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.1522542238235474,17.56212830543518
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.1462138891220093,12.99988865852356
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.22668194770813,11.954312801361084
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.1305336952209473,16.633750438690186
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.1844840049743652,16.695099115371704
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.1822421550750732,12.458712100982666
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.1855919361114502,12.350785255432127
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.16415536403656,17.508853673934937
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.142505764961243,16.147300243377686
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.1984517574310305,11.122561931610107
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.1686022281646729,11.392517805099487
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.1432143449783323,15.195597410202026
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.1363728046417236,14.630398511886597
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.1374790668487549,9.54433274269104
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.3578435182571411,8.762118101119995
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.1582287549972534,12.927931308746338
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.223605036735535,13.290515184402466
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.1929165124893188,9.210186004638672
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.2996159791946411,7.925439357757568
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.1085089445114136,11.266401290893556
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2589796781539917,11.046558380126951
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.275439739227295,8.413951396942139
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.202641248703003,7.911368370056152
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.1832557916641235,10.124926328659058
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.240673542022705,11.11393427848816
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.1691757440567017,8.764633655548096
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.2366135120391846,7.7611494064331055
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.1417156457901,11.113780975341797
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2130935192108154,11.456703662872314
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.3043040037155151,7.78780460357666
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.186914086341858,7.520865201950073
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.1384520530700684,11.906754970550535
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.1577609777450562,11.141480922698976
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.220618486404419,11.889500617980955
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.1687830686569214,13.703759670257568
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.196998119354248,16.51349186897278
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.1483163833618164,16.816363096237183
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.157382607460022,12.395984888076782
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.2033445835113523,13.182227849960327
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.1685378551483154,24.60810089111328
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2064368724822998,17.62167453765869
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.2299885749816897,13.201762437820436
