dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
chickenpox,GNAR,0.3,rand,4,,linear,,1.4274942874908447,0.0706386566162109
chickenpox,GNAR,0.3,rand,4,,cubic,,1.4274942874908447,0.0720696449279785
chickenpox,GNAR,0.4,rand,4,,linear,,1.4274942874908447,0.0878999233245849
chickenpox,GNAR,0.4,rand,4,,cubic,,1.4274942874908447,0.0942060947418212
chickenpox,GNAR,0.5,rand,4,,linear,,1.4274942874908447,0.0967295169830322
chickenpox,GNAR,0.5,rand,4,,cubic,,1.4274942874908447,0.1076827049255371
chickenpox,GNAR,0.3,rand,4,,linear,,1.4274942874908447,0.0935163497924804
chickenpox,GNAR,0.3,rand,4,,cubic,,1.4274942874908447,0.0973200798034668
chickenpox,GNAR,0.4,rand,4,,linear,,1.4274942874908447,0.1038780212402343
chickenpox,GNAR,0.4,rand,4,,cubic,,1.4274942874908447,0.1027076244354248
chickenpox,GNAR,0.5,rand,4,,linear,,1.4274942874908447,0.1055719852447509
chickenpox,GNAR,0.5,rand,4,,cubic,,1.4274942874908447,0.1023774147033691
chickenpox,GNAR,0.3,rand,4,,linear,,1.4274942874908447,0.094487190246582
chickenpox,GNAR,0.3,rand,4,,cubic,,1.4274942874908447,0.0878357887268066
chickenpox,GNAR,0.4,rand,4,,linear,,1.4274942874908447,0.1576149463653564
chickenpox,GNAR,0.4,rand,4,,cubic,,1.4274942874908447,0.0931329727172851
chickenpox,GNAR,0.5,rand,4,,linear,,1.4274942874908447,0.0865135192871093
chickenpox,GNAR,0.5,rand,4,,cubic,,1.4274942874908447,0.1064209938049316
chickenpox,GNAR,0.3,rand,4,,linear,,1.4274942874908447,0.1110644340515136
chickenpox,GNAR,0.3,rand,4,,cubic,,1.4274942874908447,0.1015906333923339
chickenpox,GNAR,0.4,rand,4,,linear,,1.4274942874908447,0.0956158638000488
chickenpox,GNAR,0.4,rand,4,,cubic,,1.4274942874908447,0.0969829559326171
chickenpox,GNAR,0.5,rand,4,,linear,,1.4274942874908447,0.0798821449279785
chickenpox,GNAR,0.5,rand,4,,cubic,,1.4274942874908447,0.0669972896575927
chickenpox,GNAR,0.3,rand,4,,linear,,1.4274942874908447,0.0723938941955566
chickenpox,GNAR,0.3,rand,4,,cubic,,1.4274942874908447,0.0811991691589355
chickenpox,GNAR,0.4,rand,4,,linear,,1.4274942874908447,0.114304780960083
chickenpox,GNAR,0.4,rand,4,,cubic,,1.4274942874908447,0.0708546638488769
chickenpox,GNAR,0.5,rand,4,,linear,,1.4274942874908447,0.0719857215881347
chickenpox,GNAR,0.5,rand,4,,cubic,,1.4274942874908447,0.0794403553009033
chickenpox,GNAR,0.3,rand,4,,linear,,1.4274942874908447,0.0719573497772216
chickenpox,GNAR,0.3,rand,4,,cubic,,1.4274942874908447,0.0727689266204834
chickenpox,GNAR,0.4,rand,4,,linear,,1.4274942874908447,0.0687983036041259
chickenpox,GNAR,0.4,rand,4,,cubic,,1.4274942874908447,0.0706024169921875
chickenpox,GNAR,0.5,rand,4,,linear,,1.4274942874908447,0.0685455799102783
chickenpox,GNAR,0.5,rand,4,,cubic,,1.4274942874908447,0.069432258605957
chickenpox,GNAR,0.3,rand,4,,linear,,1.4274942874908447,0.0763671398162841
chickenpox,GNAR,0.3,rand,4,,cubic,,1.4274942874908447,0.0715947151184082
chickenpox,GNAR,0.4,rand,4,,linear,,1.4274942874908447,0.0764093399047851
chickenpox,GNAR,0.4,rand,4,,cubic,,1.4274942874908447,0.0724015235900878
chickenpox,GNAR,0.5,rand,4,,linear,,1.4274942874908447,0.1138687133789062
chickenpox,GNAR,0.5,rand,4,,cubic,,1.4274942874908447,0.0691180229187011
chickenpox,GNAR,0.3,rand,4,,linear,,1.4274942874908447,0.0704169273376464
chickenpox,GNAR,0.3,rand,4,,cubic,,1.4274942874908447,0.0692875385284423
chickenpox,GNAR,0.4,rand,4,,linear,,1.4274942874908447,0.0699584484100341
chickenpox,GNAR,0.4,rand,4,,cubic,,1.4274942874908447,0.0775592327117919
chickenpox,GNAR,0.5,rand,4,,linear,,1.4274942874908447,0.0727260112762451
chickenpox,GNAR,0.5,rand,4,,cubic,,1.4274942874908447,0.0769290924072265
chickenpox,GNAR,0.3,rand,4,,linear,,1.4274942874908447,0.0719876289367675
chickenpox,GNAR,0.3,rand,4,,cubic,,1.4274942874908447,0.0728125572204589
chickenpox,GNAR,0.4,rand,4,,linear,,1.4274942874908447,0.0721793174743652
chickenpox,GNAR,0.4,rand,4,,cubic,,1.4274942874908447,0.0723416805267334
chickenpox,GNAR,0.5,rand,4,,linear,,1.4274942874908447,0.0717992782592773
chickenpox,GNAR,0.5,rand,4,,cubic,,1.4274942874908447,0.0735914707183837
chickenpox,GNAR,0.3,rand,4,,linear,,1.4274942874908447,0.1200828552246093
chickenpox,GNAR,0.3,rand,4,,cubic,,1.4274942874908447,0.108609914779663
chickenpox,GNAR,0.4,rand,4,,linear,,1.4274942874908447,0.1238095760345459
chickenpox,GNAR,0.4,rand,4,,cubic,,1.4274942874908447,0.1235389709472656
chickenpox,GNAR,0.5,rand,4,,linear,,1.4274942874908447,0.1157333850860595
chickenpox,GNAR,0.5,rand,4,,cubic,,1.4274942874908447,0.1160933971405029
chickenpox,GNAR,0.3,rand,4,,linear,,1.4274942874908447,0.1204380989074707
