dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,STGCN,0.3,rand,4,4,linear,50,1.2580580711364746,4.5489115715026855
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.3390014171600342,4.396820783615112
pedalme,STGCN,0.6,rand,4,4,linear,50,1.335205078125,4.5583655834198
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.489415168762207,4.684067487716675
pedalme,IT-STGCN,0,,4,4,,50,1.1276355981826782,6.070110321044922
pedalme,IT-STGCN,0,,4,4,,50,1.152866244316101,6.082251310348511
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.2229840755462646,5.948180675506592
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.2149653434753418,6.022831201553345
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.3046590089797974,5.786224126815796
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.2278250455856323,5.573758840560913
pedalme,STGCN,0,,4,4,,50,1.1805307865142822,4.850322484970093
pedalme,STGCN,0,,4,4,,50,1.1841808557510376,4.185343265533447
pedalme,STGCN,0.3,rand,4,4,linear,50,1.1977219581604004,3.902054786682129
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.1877460479736328,3.5044913291931152
pedalme,STGCN,0.6,rand,4,4,linear,50,1.3213609457015991,4.931918382644653
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.3866946697235107,4.101933002471924
pedalme,IT-STGCN,0,,4,4,,50,1.1300485134124756,5.360450029373169
pedalme,IT-STGCN,0,,4,4,,50,1.2432641983032227,5.619640588760376
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.2170131206512451,5.554463863372803
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.2578271627426147,5.604102611541748
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.261281967163086,5.625730276107788
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.232322096824646,5.267619371414185
pedalme,STGCN,0,,4,4,,50,1.169398546218872,4.18051815032959
pedalme,STGCN,0,,4,4,,50,1.2053412199020386,4.134830713272095
pedalme,STGCN,0.3,rand,4,4,linear,50,1.2538657188415527,4.363374710083008
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.2875030040740967,4.388335704803467
pedalme,STGCN,0.6,rand,4,4,linear,50,1.4355946779251099,4.493297100067139
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.3211703300476074,4.443994045257568
pedalme,IT-STGCN,0,,4,4,,50,1.2332507371902466,5.666104555130005
pedalme,IT-STGCN,0,,4,4,,50,1.1451343297958374,5.69891095161438
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.1766304969787598,5.7006049156188965
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.192389965057373,5.647134065628052
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.324533462524414,5.613291501998901
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.2529165744781494,5.586773872375488
pedalme,STGCN,0,,4,4,,50,1.2120904922485352,4.410558700561523
pedalme,STGCN,0,,4,4,,50,1.2256094217300415,3.801058292388916
pedalme,STGCN,0.3,rand,4,4,linear,50,1.278866171836853,2.96832537651062
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.2566841840744019,3.6995866298675537
pedalme,STGCN,0.6,rand,4,4,linear,50,1.4735575914382935,3.7633960247039795
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.284292459487915,4.093001127243042
pedalme,IT-STGCN,0,,4,4,,50,1.2241828441619873,5.846579551696777
pedalme,IT-STGCN,0,,4,4,,50,1.1599578857421875,5.882972240447998
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.1962053775787354,6.195387840270996
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.1959035396575928,5.398159027099609
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.3107222318649292,4.3600544929504395
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.2977725267410278,6.092001914978027
pedalme,STGCN,0,,4,4,,50,1.1801390647888184,4.52013087272644
pedalme,STGCN,0,,4,4,,50,1.1979445219039917,4.435671091079712
pedalme,STGCN,0.3,rand,4,4,linear,50,1.207163691520691,4.748877763748169
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.2382280826568604,4.813604831695557
pedalme,STGCN,0.6,rand,4,4,linear,50,1.2895551919937134,4.7547080516815186
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.2749773263931274,4.871135473251343
pedalme,IT-STGCN,0,,4,4,,50,1.2125494480133057,6.1214447021484375
pedalme,IT-STGCN,0,,4,4,,50,1.1237730979919434,6.047453165054321
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.1918479204177856,6.071129560470581
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.2226265668869019,6.136277675628662
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.1896227598190308,6.4501402378082275
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.1994439363479614,6.337454080581665
pedalme,STGCN,0,,4,4,,50,1.1693207025527954,4.782007694244385
pedalme,STGCN,0,,4,4,,50,1.2385663986206055,4.556581258773804
pedalme,STGCN,0.3,rand,4,4,linear,50,1.1978975534439087,4.60427713394165
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.265683889389038,4.232710361480713
pedalme,STGCN,0.6,rand,4,4,linear,50,1.4204119443893433,4.202852249145508
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.297462821006775,4.630640268325806
pedalme,IT-STGCN,0,,4,4,,50,1.1967098712921143,5.895098447799683
pedalme,IT-STGCN,0,,4,4,,50,1.2315274477005005,5.779127597808838
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.2325600385665894,5.529263019561768
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.217293620109558,5.581874132156372
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.2713855504989624,5.907876253128052
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.3141028881072998,6.173092365264893
pedalme,STGCN,0,,4,4,,50,1.2676695585250854,4.612044334411621
pedalme,STGCN,0,,4,4,,50,1.217544674873352,4.632693767547607
pedalme,STGCN,0.3,rand,4,4,linear,50,1.2702922821044922,4.4538092613220215
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.2501291036605835,3.8513998985290527
pedalme,STGCN,0.6,rand,4,4,linear,50,1.2602540254592896,4.127972602844238
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.347037434577942,4.5107948780059814
pedalme,IT-STGCN,0,,4,4,,50,1.174702763557434,5.7487945556640625
pedalme,IT-STGCN,0,,4,4,,50,1.2123239040374756,5.0861451625823975
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.1814603805541992,5.527668237686157
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.126358985900879,5.43299412727356
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.270607352256775,5.198298692703247
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.271207571029663,5.1081438064575195
pedalme,STGCN,0,,4,4,,50,1.180751085281372,4.07578444480896
pedalme,STGCN,0,,4,4,,50,1.2659947872161865,4.184434652328491
pedalme,STGCN,0.3,rand,4,4,linear,50,1.2268342971801758,4.211669683456421
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.2311346530914307,4.051461219787598
pedalme,STGCN,0.6,rand,4,4,linear,50,1.3231308460235596,4.052002429962158
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.3663069009780884,4.052093982696533
pedalme,IT-STGCN,0,,4,4,,50,1.1361652612686157,5.18211817741394
pedalme,IT-STGCN,0,,4,4,,50,1.1431132555007935,5.207597017288208
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.21644926071167,5.27425742149353
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.2423847913742065,5.273645401000977
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.2571121454238892,5.330290079116821
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.303496241569519,5.672382831573486
pedalme,STGCN,0,,4,4,,50,1.195221185684204,4.442359924316406
pedalme,STGCN,0,,4,4,,50,1.141178846359253,4.496126890182495
pedalme,STGCN,0.3,rand,4,4,linear,50,1.2448891401290894,4.53899621963501
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.2157189846038818,4.5343568325042725
pedalme,STGCN,0.6,rand,4,4,linear,50,1.3669971227645874,4.470580339431763
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.3064723014831543,3.1640701293945312
pedalme,IT-STGCN,0,,4,4,,50,1.1073756217956543,4.615991830825806
pedalme,IT-STGCN,0,,4,4,,50,1.1641284227371216,3.696406364440918
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.199366807937622,3.318483591079712
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.2317451238632202,3.4270777702331543
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.2770589590072632,6.171799182891846
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.3184442520141602,7.4350035190582275
pedalme,STGCN,0,,4,4,,50,1.1489551067352295,5.542988300323486
pedalme,STGCN,0,,4,4,,50,1.1847560405731201,3.919323444366455
pedalme,STGCN,0.3,rand,4,4,linear,50,1.2599432468414307,5.634977579116821
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.2535754442214966,5.92668890953064
pedalme,STGCN,0.6,rand,4,4,linear,50,1.2748032808303833,5.735559701919556
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.4142869710922241,5.768638849258423
pedalme,IT-STGCN,0,,4,4,,50,1.1728849411010742,7.435791730880737
pedalme,IT-STGCN,0,,4,4,,50,1.1290315389633179,7.3753955364227295
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.1444066762924194,7.535746335983276
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.1442092657089233,7.570711135864258
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.222468614578247,7.53951358795166
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.2803326845169067,7.642350673675537
pedalme,STGCN,0,,4,4,,50,1.2321784496307373,6.279220819473267
pedalme,STGCN,0,,4,4,,50,1.1351206302642822,6.556348085403442
pedalme,STGCN,0.3,rand,4,4,linear,50,1.2714743614196777,6.29023551940918
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.2489286661148071,6.587622404098511
pedalme,STGCN,0.6,rand,4,4,linear,50,1.5398683547973633,6.94397234916687
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.503544807434082,3.431889295578003
pedalme,IT-STGCN,0,,4,4,,50,1.1251742839813232,3.9485085010528564
pedalme,IT-STGCN,0,,4,4,,50,1.1338011026382446,6.268392086029053
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.220235824584961,5.839136838912964
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.188430905342102,6.131579875946045
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.3344775438308716,6.002535343170166
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.2105880975723267,6.0631208419799805
pedalme,STGCN,0,,4,4,,50,1.227407693862915,4.83416223526001
pedalme,STGCN,0,,4,4,,50,1.1513195037841797,4.882906198501587
pedalme,STGCN,0.3,rand,4,4,linear,50,1.2484533786773682,4.914106130599976
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.2628989219665527,4.858425140380859
pedalme,STGCN,0.6,rand,4,4,linear,50,1.273887038230896,4.883057594299316
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.3218358755111694,4.864666938781738
pedalme,IT-STGCN,0,,4,4,,50,1.2060428857803345,6.207315683364868
pedalme,IT-STGCN,0,,4,4,,50,1.1633515357971191,5.866014719009399
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.2381038665771484,3.3294684886932373
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.2394481897354126,3.2449445724487305
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.2629201412200928,3.3727378845214844
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.2386996746063232,3.2333784103393555
pedalme,STGCN,0,,4,4,,50,1.1769812107086182,2.4429984092712402
pedalme,STGCN,0,,4,4,,50,1.148380994796753,2.4876186847686768
pedalme,STGCN,0.3,rand,4,4,linear,50,1.2763023376464844,2.560424327850342
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.2144839763641357,2.631215810775757
pedalme,STGCN,0.6,rand,4,4,linear,50,1.3351349830627441,2.609255790710449
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.298005223274231,2.646256446838379
pedalme,IT-STGCN,0,,4,4,,50,1.2297003269195557,3.266254425048828
pedalme,IT-STGCN,0,,4,4,,50,1.2293460369110107,3.224109172821045
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.2086342573165894,3.2154629230499268
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.2344825267791748,3.2251482009887695
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.3106094598770142,3.25954008102417
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.2609944343566895,3.2967050075531006
pedalme,STGCN,0,,4,4,,50,1.1961052417755127,2.6685640811920166
pedalme,STGCN,0,,4,4,,50,1.1521409749984741,2.5469090938568115
pedalme,STGCN,0.3,rand,4,4,linear,50,1.2666293382644653,2.574427366256714
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.2654705047607422,2.512561321258545
pedalme,STGCN,0.6,rand,4,4,linear,50,1.3999037742614746,2.55478572845459
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.31777024269104,2.620565176010132
pedalme,IT-STGCN,0,,4,4,,50,1.194988489151001,3.22294020652771
pedalme,IT-STGCN,0,,4,4,,50,1.181976556777954,6.638116359710693
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.1627076864242554,7.691673994064331
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.2120144367218018,7.253613471984863
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.2773395776748657,5.299131155014038
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.295831322669983,9.252800703048706
pedalme,STGCN,0,,4,4,,50,1.133366584777832,5.659284591674805
pedalme,STGCN,0,,4,4,,50,1.1910037994384766,5.360937118530273
pedalme,STGCN,0.3,rand,4,4,linear,50,1.2626780271530151,5.55290961265564
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.2711628675460815,5.231109142303467
pedalme,STGCN,0.6,rand,4,4,linear,50,1.3524434566497803,5.281937122344971
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.4601585865020752,5.377234935760498
pedalme,IT-STGCN,0,,4,4,,50,1.1600347757339478,7.027047872543335
pedalme,IT-STGCN,0,,4,4,,50,1.151070237159729,6.946252107620239
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.2144371271133423,7.1446497440338135
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.2055583000183105,6.793735027313232
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.3282620906829834,6.932921648025513
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.2592488527297974,7.434584140777588
pedalme,STGCN,0,,4,4,,50,1.2507996559143066,5.746929168701172
pedalme,STGCN,0,,4,4,,50,1.1464592218399048,5.6090617179870605
pedalme,STGCN,0.3,rand,4,4,linear,50,1.2664929628372192,5.849999189376831
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.2446402311325073,4.198107957839966
pedalme,STGCN,0.6,rand,4,4,linear,50,1.3684762716293335,3.562856912612915
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.411945104598999,3.474573850631714
pedalme,IT-STGCN,0,,4,4,,50,1.194368600845337,6.022105932235718
pedalme,IT-STGCN,0,,4,4,,50,1.1450190544128418,5.9088873863220215
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.1724586486816406,6.000973463058472
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.2665363550186157,6.1165971755981445
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.259625792503357,6.150838851928711
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.221734881401062,6.20331335067749
pedalme,STGCN,0,,4,4,,50,1.1858577728271484,4.836722373962402
pedalme,STGCN,0,,4,4,,50,1.1295775175094604,4.820291519165039
pedalme,STGCN,0.3,rand,4,4,linear,50,1.2533890008926392,4.765826225280762
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.3246030807495117,4.781072616577148
pedalme,STGCN,0.6,rand,4,4,linear,50,1.4603710174560547,4.778840780258179
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.378955364227295,4.779208421707153
pedalme,IT-STGCN,0,,4,4,,50,1.2648969888687134,4.683417558670044
pedalme,IT-STGCN,0,,4,4,,50,1.1676911115646362,3.2756519317626953
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.2586987018585205,3.318417549133301
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.2068201303482056,3.349081039428711
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.2732495069503784,3.3309128284454346
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.3095850944519043,3.3447701930999756
pedalme,STGCN,0,,4,4,,50,1.1866443157196045,3.457904100418091
pedalme,STGCN,0,,4,4,,50,1.2265839576721191,5.103058576583862
pedalme,STGCN,0.3,rand,4,4,linear,50,1.2272298336029053,5.851276159286499
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.182548999786377,5.257236003875732
pedalme,STGCN,0.6,rand,4,4,linear,50,1.420437216758728,4.3678367137908936
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.3580023050308228,4.418950319290161
pedalme,IT-STGCN,0,,4,4,,50,1.2194181680679321,6.776412010192871
pedalme,IT-STGCN,0,,4,4,,50,1.1449849605560303,6.6945953369140625
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.2050833702087402,6.811039686203003
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.2740418910980225,6.8307130336761475
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.2221806049346924,6.850337505340576
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.2064032554626465,6.806011915206909
pedalme,STGCN,0,,4,4,,50,1.132203459739685,5.2907185554504395
pedalme,STGCN,0,,4,4,,50,1.1940162181854248,5.353444337844849
pedalme,STGCN,0.3,rand,4,4,linear,50,1.2664222717285156,5.346621513366699
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.2571642398834229,5.521374464035034
pedalme,STGCN,0.6,rand,4,4,linear,50,1.3183144330978394,5.569840908050537
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.33490788936615,5.594275951385498
pedalme,IT-STGCN,0,,4,4,,50,1.1538721323013306,7.271741628646851
pedalme,IT-STGCN,0,,4,4,,50,1.1782116889953613,7.317881345748901
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.246294617652893,7.543020725250244
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.2258955240249634,7.368168354034424
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.2978085279464722,4.6037421226501465
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.290355920791626,4.614326000213623
pedalme,STGCN,0,,4,4,,50,1.1431714296340942,4.723064661026001
pedalme,STGCN,0,,4,4,,50,1.1664851903915405,4.4983696937561035
pedalme,STGCN,0.3,rand,4,4,linear,50,1.231318712234497,4.616611480712891
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.248384714126587,4.693235158920288
pedalme,STGCN,0.6,rand,4,4,linear,50,1.3522884845733643,4.706419944763184
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.4883358478546143,4.797126770019531
pedalme,IT-STGCN,0,,4,4,,50,1.137742519378662,6.177204370498657
pedalme,IT-STGCN,0,,4,4,,50,1.1653568744659424,6.035741567611694
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.1453419923782349,6.092114210128784
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.1498767137527466,6.019259452819824
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.3421814441680908,6.095207691192627
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.2214739322662354,6.162184715270996
pedalme,STGCN,0,,4,4,,50,1.1513959169387817,3.510875940322876
pedalme,STGCN,0,,4,4,,50,1.2177010774612427,2.4782752990722656
pedalme,STGCN,0.3,rand,4,4,linear,50,1.305129885673523,2.4803073406219482
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.249868631362915,2.6692707538604736
pedalme,STGCN,0.6,rand,4,4,linear,50,1.4253313541412354,2.7218873500823975
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.3112596273422241,2.6175999641418457
pedalme,IT-STGCN,0,,4,4,,50,1.1384843587875366,3.314847946166992
pedalme,IT-STGCN,0,,4,4,,50,1.1955474615097046,3.36718487739563
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.2228108644485474,3.3027994632720947
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.190685749053955,3.3421998023986816
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.3124536275863647,3.3390755653381348
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.2438197135925293,3.4056601524353027
pedalme,STGCN,0,,4,4,,50,1.2016148567199707,2.575291395187378
