dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,STGCN,0.12307692307692308,block,4,12,nearest,50,0.7591972351074219,921.5560808181763
wikimath,STGCN,0.12307692307692308,block,4,12,linear,50,0.762965202331543,633.7983684539795
wikimath,IT-STGCN,0.12307692307692308,block,4,12,nearest,50,0.7696621417999268,780.1159625053406
wikimath,IT-STGCN,0.12307692307692308,block,4,12,linear,50,0.772363543510437,789.7215123176575
wikimath,STGCN,0.12307692307692308,block,4,12,nearest,50,0.7653375864028931,710.9380753040314
wikimath,STGCN,0.12307692307692308,block,4,12,linear,50,0.7659908533096313,693.6169497966766
wikimath,IT-STGCN,0.12307692307692308,block,4,12,nearest,50,0.7775399684906006,783.3967730998993
wikimath,IT-STGCN,0.12307692307692308,block,4,12,linear,50,0.7762566804885864,755.0338914394379
wikimath,STGCN,0.12307692307692308,block,4,12,nearest,50,0.7558650970458984,700.4632358551025
wikimath,STGCN,0.12307692307692308,block,4,12,linear,50,0.7824612855911255,654.4967081546783
wikimath,IT-STGCN,0.12307692307692308,block,4,12,nearest,50,0.7759485840797424,791.2460043430328
wikimath,IT-STGCN,0.12307692307692308,block,4,12,linear,50,0.7779120802879333,795.6329357624054
wikimath,STGCN,0.12307692307692308,block,4,12,nearest,50,0.7631819844245911,708.7821056842804
wikimath,STGCN,0.12307692307692308,block,4,12,linear,50,0.7871425747871399,827.798887014389
wikimath,IT-STGCN,0.12307692307692308,block,4,12,nearest,50,0.7738866806030273,1170.1558365821838
wikimath,IT-STGCN,0.12307692307692308,block,4,12,linear,50,0.7883844971656799,1415.3019037246704
wikimath,STGCN,0.12307692307692308,block,4,12,nearest,50,0.7603073120117188,1244.865475177765
wikimath,STGCN,0.12307692307692308,block,4,12,linear,50,0.7609202265739441,1228.7717871665955
wikimath,IT-STGCN,0.12307692307692308,block,4,12,nearest,50,0.7691015601158142,1228.6943264007568
wikimath,IT-STGCN,0.12307692307692308,block,4,12,linear,50,0.7725713849067688,1278.5689713954926
wikimath,STGCN,0.12307692307692308,block,4,12,nearest,50,0.7630547881126404,1166.243921995163
wikimath,STGCN,0.12307692307692308,block,4,12,linear,50,0.7760539650917053,1029.417023897171
wikimath,IT-STGCN,0.12307692307692308,block,4,12,nearest,50,0.7696593999862671,780.5069692134857
wikimath,IT-STGCN,0.12307692307692308,block,4,12,linear,50,0.7776556611061096,794.5420317649841
wikimath,STGCN,0.12307692307692308,block,4,12,nearest,50,0.7544616460800171,699.3665404319763
wikimath,STGCN,0.12307692307692308,block,4,12,linear,50,0.7541854977607727,681.8859233856201
wikimath,IT-STGCN,0.12307692307692308,block,4,12,nearest,50,0.7662442326545715,769.5397729873657
wikimath,IT-STGCN,0.12307692307692308,block,4,12,linear,50,0.7773252725601196,768.2394165992737
wikimath,STGCN,0.12307692307692308,block,4,12,nearest,50,0.7696929574012756,695.3160927295685
wikimath,STGCN,0.12307692307692308,block,4,12,linear,50,0.7591646313667297,626.8593900203705
wikimath,IT-STGCN,0.12307692307692308,block,4,12,nearest,50,0.7998169660568237,788.9266269207001
wikimath,IT-STGCN,0.12307692307692308,block,4,12,linear,50,0.7772806882858276,793.8739151954651
wikimath,STGCN,0.12307692307692308,block,4,12,nearest,50,0.7700581550598145,719.014279127121
wikimath,STGCN,0.12307692307692308,block,4,12,linear,50,0.7711488604545593,665.3320367336273
wikimath,IT-STGCN,0.12307692307692308,block,4,12,nearest,50,0.7828115820884705,788.1822464466095
wikimath,IT-STGCN,0.12307692307692308,block,4,12,linear,50,0.7681903839111328,785.6371936798096
wikimath,STGCN,0.12307692307692308,block,4,12,nearest,50,0.7656269669532776,726.7183027267456
wikimath,STGCN,0.12307692307692308,block,4,12,linear,50,0.760848879814148,728.7723469734192
wikimath,IT-STGCN,0.12307692307692308,block,4,12,nearest,50,0.7669020295143127,863.752836227417
wikimath,IT-STGCN,0.12307692307692308,block,4,12,linear,50,0.7674767374992371,875.914208650589
