dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
chickenpox,STGCN,0.3,rand,4,16,linear,50,1.1230506896972656,62.246978998184204
chickenpox,STGCN,0.8,rand,4,16,linear,50,1.7951009273529053,64.07644200325012
chickenpox,IT-STGCN,0.3,rand,4,16,linear,50,0.8352208137512207,107.28013300895691
chickenpox,IT-STGCN,0.8,rand,4,16,linear,50,1.3630610704421997,105.82209300994873
chickenpox,STGCN,0.3,rand,4,16,linear,50,1.0406575202941895,56.12337303161621
chickenpox,STGCN,0.8,rand,4,16,linear,50,2.520611524581909,56.704904317855835
chickenpox,IT-STGCN,0.3,rand,4,16,linear,50,0.8677713871002197,77.02347326278687
chickenpox,IT-STGCN,0.8,rand,4,16,linear,50,1.3800307512283325,77.47096061706543
chickenpox,STGCN,0.3,rand,4,16,linear,50,1.0040687322616577,56.05683255195618
chickenpox,STGCN,0.8,rand,4,16,linear,50,2.1420345306396484,61.33176040649414
chickenpox,IT-STGCN,0.3,rand,4,16,linear,50,0.8450765609741211,104.88981509208679
chickenpox,IT-STGCN,0.8,rand,4,16,linear,50,1.5303001403808594,104.16826963424683
chickenpox,STGCN,0.3,rand,4,16,linear,50,1.0700671672821045,62.227296352386475
chickenpox,STGCN,0.8,rand,4,16,linear,50,2.24342942237854,62.65455460548401
chickenpox,IT-STGCN,0.3,rand,4,16,linear,50,0.8476091027259827,103.04784965515137
chickenpox,IT-STGCN,0.8,rand,4,16,linear,50,1.3133264780044556,81.39678168296814
chickenpox,STGCN,0.3,rand,4,16,linear,50,1.107170581817627,56.21044111251831
chickenpox,STGCN,0.8,rand,4,16,linear,50,1.983170747756958,57.66347622871399
chickenpox,IT-STGCN,0.3,rand,4,16,linear,50,0.8685047030448914,81.99842238426208
chickenpox,IT-STGCN,0.8,rand,4,16,linear,50,1.2867162227630615,81.27328372001648
chickenpox,STGCN,0.3,rand,4,16,linear,50,1.028372883796692,63.94691443443298
chickenpox,STGCN,0.8,rand,4,16,linear,50,2.2001261711120605,63.081838607788086
chickenpox,IT-STGCN,0.3,rand,4,16,linear,50,0.8440536260604858,100.93345808982849
chickenpox,IT-STGCN,0.8,rand,4,16,linear,50,1.2815220355987549,103.15922570228577
chickenpox,STGCN,0.3,rand,4,16,linear,50,1.0640320777893066,62.36618685722351
chickenpox,STGCN,0.8,rand,4,16,linear,50,1.9045251607894897,64.63592219352722
chickenpox,IT-STGCN,0.3,rand,4,16,linear,50,0.8616449236869812,90.16370224952698
chickenpox,IT-STGCN,0.8,rand,4,16,linear,50,1.2674827575683594,78.05953073501587
chickenpox,STGCN,0.3,rand,4,16,linear,50,1.0249757766723633,56.74688386917114
chickenpox,STGCN,0.8,rand,4,16,linear,50,2.4233779907226562,57.42123007774353
chickenpox,IT-STGCN,0.3,rand,4,16,linear,50,0.8532156348228455,76.81643152236938
chickenpox,IT-STGCN,0.8,rand,4,16,linear,50,1.3641853332519531,123.6973524093628
chickenpox,STGCN,0.3,rand,4,16,linear,50,1.053786039352417,63.57817053794861
chickenpox,STGCN,0.8,rand,4,16,linear,50,1.9947354793548584,64.35446500778198
chickenpox,IT-STGCN,0.3,rand,4,16,linear,50,0.8425835967063904,105.05737352371216
chickenpox,IT-STGCN,0.8,rand,4,16,linear,50,1.3933964967727661,104.532390832901
chickenpox,STGCN,0.3,rand,4,16,linear,50,1.0282529592514038,61.96433973312378
chickenpox,STGCN,0.8,rand,4,16,linear,50,2.5004220008850098,56.734803199768066
chickenpox,IT-STGCN,0.3,rand,4,16,linear,50,0.8718202114105225,84.52572011947632
chickenpox,IT-STGCN,0.8,rand,4,16,linear,50,1.359553575515747,74.2031819820404
chickenpox,STGCN,0.3,rand,4,16,linear,50,1.050693154335022,56.6713228225708
chickenpox,STGCN,0.8,rand,4,16,linear,50,2.2528114318847656,57.04234170913696
chickenpox,IT-STGCN,0.3,rand,4,16,linear,50,0.8338941931724548,123.96564435958862
chickenpox,IT-STGCN,0.8,rand,4,16,linear,50,1.393219232559204,100.05681014060974
chickenpox,STGCN,0.3,rand,4,16,linear,50,1.0958716869354248,63.08670425415039
chickenpox,STGCN,0.8,rand,4,16,linear,50,2.3888113498687744,64.7444360256195
chickenpox,IT-STGCN,0.3,rand,4,16,linear,50,0.854637086391449,100.6701762676239
chickenpox,IT-STGCN,0.8,rand,4,16,linear,50,1.3953931331634521,95.43936371803284
chickenpox,STGCN,0.3,rand,4,16,linear,50,1.0836913585662842,56.56605267524719
chickenpox,STGCN,0.8,rand,4,16,linear,50,1.9919548034667969,57.255446434020996
chickenpox,IT-STGCN,0.3,rand,4,16,linear,50,0.8245179057121277,75.22600746154785
chickenpox,IT-STGCN,0.8,rand,4,16,linear,50,1.3140928745269775,79.81659960746765
chickenpox,STGCN,0.3,rand,4,16,linear,50,1.0411553382873535,63.88588547706604
chickenpox,STGCN,0.8,rand,4,16,linear,50,2.1569013595581055,63.9977068901062
chickenpox,IT-STGCN,0.3,rand,4,16,linear,50,0.826748788356781,101.28644514083862
chickenpox,IT-STGCN,0.8,rand,4,16,linear,50,1.4187452793121338,97.6026439666748
chickenpox,STGCN,0.3,rand,4,16,linear,50,0.9900540709495544,62.733787298202515
chickenpox,STGCN,0.8,rand,4,16,linear,50,2.107632875442505,63.72607684135437
chickenpox,IT-STGCN,0.3,rand,4,16,linear,50,0.8306903839111328,99.1377866268158
chickenpox,IT-STGCN,0.8,rand,4,16,linear,50,1.3829119205474854,80.07111191749573
